[2025-11-25 11:51:36.142] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn3, error: 3
[2025-11-25 11:51:40.198] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.PhyHealth, error: 3
[2025-11-25 11:51:40.198] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.PhyNam, error: 3
[2025-11-25 11:51:40.198] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.Proxy, error: 3
[2025-11-25 11:51:41.201] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn1, error: 3
[2025-11-25 11:51:41.201] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn2, error: 3
[2025-11-25 11:51:41.201] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn3, error: 3
[2025-11-25 11:51:41.201] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn4, error: 3
[2025-11-25 11:51:41.201] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Beh, error: 3
[2025-11-25 11:51:41.201] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Health, error: 3
[2025-11-25 11:51:41.201] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind1, error: 3
[2025-11-25 11:51:41.201] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind2, error: 3
[2025-11-25 11:51:41.201] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind3, error: 3
[2025-11-25 11:51:41.201] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind4, error: 3
[2025-11-25 11:51:41.201] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Mod, error: 3
[2025-11-25 11:51:41.201] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.NamPlt, error: 3
[2025-11-25 11:51:41.201] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO1, error: 3
[2025-11-25 11:51:41.201] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO2, error: 3
[2025-11-25 11:51:41.201] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO3, error: 3
[2025-11-25 11:51:41.201] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO4, error: 3
[2025-11-25 11:51:41.201] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Beh, error: 3
[2025-11-25 11:51:41.201] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Health, error: 3
[2025-11-25 11:51:41.201] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Mod, error: 3
[2025-11-25 11:51:41.201] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.NamPlt, error: 3
[2025-11-25 11:51:41.201] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.PhyHealth, error: 3
[2025-11-25 11:51:41.201] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.PhyNam, error: 3
[2025-11-25 11:51:41.202] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.Proxy, error: 3
[2025-11-25 11:51:42.206] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn1, error: 3
[2025-11-25 11:51:42.206] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn2, error: 3
[2025-11-25 11:51:42.206] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn3, error: 3
[2025-11-25 11:51:42.206] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn4, error: 3
[2025-11-25 11:51:42.206] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Beh, error: 3
[2025-11-25 11:51:42.206] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Health, error: 3
[2025-11-25 11:51:42.206] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind1, error: 3
[2025-11-25 11:51:42.206] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind2, error: 3
[2025-11-25 11:51:42.206] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind3, error: 3
[2025-11-25 11:51:42.239] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind4, error: 3
[2025-11-25 11:51:42.239] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Mod, error: 3
[2025-11-25 11:51:42.239] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.NamPlt, error: 3
[2025-11-25 11:51:42.239] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO1, error: 3
[2025-11-25 11:51:42.239] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO2, error: 3
[2025-11-25 11:51:42.239] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO3, error: 3
[2025-11-25 11:51:42.239] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO4, error: 3
[2025-11-25 11:51:42.239] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Beh, error: 3
[2025-11-25 11:51:42.239] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Health, error: 3
[2025-11-25 11:51:42.239] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Mod, error: 3
[2025-11-25 11:51:42.239] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.NamPlt, error: 3
[2025-11-25 11:51:42.239] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.PhyHealth, error: 3
[2025-11-25 11:51:42.239] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.PhyNam, error: 3
[2025-11-25 11:51:42.239] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.Proxy, error: 3
[2025-11-25 11:51:43.240] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn1, error: 3
[2025-11-25 11:51:43.240] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn2, error: 3
[2025-11-25 11:51:43.240] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn3, error: 3
[2025-11-25 11:51:43.240] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn4, error: 3
[2025-11-25 11:51:43.240] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Beh, error: 3
[2025-11-25 11:51:43.240] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Health, error: 3
[2025-11-25 11:51:43.240] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind1, error: 3
[2025-11-25 11:51:43.240] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind2, error: 3
[2025-11-25 11:51:43.240] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind3, error: 3
[2025-11-25 11:51:43.240] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind4, error: 3
[2025-11-25 11:51:43.240] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Mod, error: 3
[2025-11-25 11:51:43.240] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.NamPlt, error: 3
[2025-11-25 11:51:43.240] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO1, error: 3
[2025-11-25 11:51:43.240] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO2, error: 3
[2025-11-25 11:51:43.240] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO3, error: 3
[2025-11-25 11:51:43.240] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO4, error: 3
[2025-11-25 11:51:43.240] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Beh, error: 3
[2025-11-25 11:51:43.240] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Health, error: 3
[2025-11-25 11:51:43.240] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Mod, error: 3
[2025-11-25 11:51:43.240] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.NamPlt, error: 3
[2025-11-25 11:51:43.241] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.PhyHealth, error: 3
[2025-11-25 11:51:43.241] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.PhyNam, error: 3
[2025-11-25 11:51:43.241] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.Proxy, error: 3
[2025-11-25 11:51:44.241] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn1, error: 3
[2025-11-25 11:51:44.241] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn2, error: 3
[2025-11-25 11:51:44.241] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn3, error: 3
[2025-11-25 11:51:44.241] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn4, error: 3
[2025-11-25 11:51:44.241] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Beh, error: 3
[2025-11-25 11:51:44.241] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Health, error: 3
[2025-11-25 11:51:44.241] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind1, error: 3
[2025-11-25 11:51:44.241] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind2, error: 3
[2025-11-25 11:51:44.241] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind3, error: 3
[2025-11-25 11:51:44.241] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind4, error: 3
[2025-11-25 11:51:44.241] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Mod, error: 3
[2025-11-25 11:51:44.241] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.NamPlt, error: 3
[2025-11-25 11:51:44.241] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO1, error: 3
[2025-11-25 11:51:44.241] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO2, error: 3
[2025-11-25 11:51:44.242] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO3, error: 3
[2025-11-25 11:51:44.242] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO4, error: 3
[2025-11-25 11:51:44.242] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Beh, error: 3
[2025-11-25 11:51:44.242] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Health, error: 3
[2025-11-25 11:51:44.242] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Mod, error: 3
[2025-11-25 11:51:44.242] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.NamPlt, error: 3
[2025-11-25 11:51:44.242] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.PhyHealth, error: 3
[2025-11-25 11:51:44.242] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.PhyNam, error: 3
[2025-11-25 11:51:44.242] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.Proxy, error: 3
[2025-11-25 11:51:45.242] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn1, error: 3
[2025-11-25 11:51:45.242] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn2, error: 3
[2025-11-25 11:51:45.242] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn3, error: 3
[2025-11-25 11:51:45.242] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.AnIn4, error: 3
[2025-11-25 11:51:45.242] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Beh, error: 3
[2025-11-25 11:51:45.242] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Health, error: 3
[2025-11-25 11:51:45.242] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind1, error: 3
[2025-11-25 11:51:45.242] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind2, error: 3
[2025-11-25 11:51:45.242] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind3, error: 3
[2025-11-25 11:51:45.242] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Ind4, error: 3
[2025-11-25 11:51:45.242] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.Mod, error: 3
[2025-11-25 11:51:45.242] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.NamPlt, error: 3
[2025-11-25 11:51:45.242] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO1, error: 3
[2025-11-25 11:51:45.242] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO2, error: 3
[2025-11-25 11:51:45.243] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO3, error: 3
[2025-11-25 11:51:45.243] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/GGIO1.SPCSO4, error: 3
[2025-11-25 11:51:45.243] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Beh, error: 3
[2025-11-25 11:51:45.243] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Health, error: 3
[2025-11-25 11:51:45.243] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.Mod, error: 3
[2025-11-25 11:51:45.243] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LLN0.NamPlt, error: 3
[2025-11-25 11:51:45.243] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.PhyHealth, error: 3
[2025-11-25 11:51:45.243] [gateway] [warning] ✗ Failed to read simpleIOGenericIO/LPHD1.PhyNam, error: 3
